"レイヤ名","事務所","告示年月日","告示番号","市町村名","現象","箇所名","箇所番号","経度","緯度","分類"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根15","Ⅱ-060051","140.194527211449","35.8097848401886","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根15","Ⅱ-060051","140.193725633173","35.8092606003984","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根16","Ⅱ-060052","140.203888575779","35.8069915158579","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根17","Ⅱ-060053","140.202261324057","35.8056946478515","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根17","Ⅱ-060053","140.202835226885","35.8061707994106","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根18","Ⅱ-060054","140.200341050562","35.8041584023643","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根18","Ⅱ-060054","140.20201331991","35.80410321144","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根19","Ⅱ-060055","140.198855405012","35.8029979285893","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根19","Ⅱ-060055","140.199111920683","35.8036113444197","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","平賀23","Ⅲ-0108","140.251179854498","35.7618600866319","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H27.6.5","千第442号","印西市","急傾斜地の崩壊","戸神3","Ⅱ-060049","140.118357449184","35.7859724170919","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H27.6.5","千第442号","印西市","急傾斜地の崩壊","小林8","Ⅱ-1434","140.190398380016","35.8237291450537","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H24.3.2","千第144号","印西市","急傾斜地の崩壊","瀬戸3","Ⅰ-1502","140.207445013625","35.7741827560676","土砂災害特別警戒区域"
